step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,intersection_stopped,intersection_accumulated_waiting_time,intersection_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.020535072955356,0,0.0,0.9923814661974889,0,0.0
15.0,0,0.0,0.0,10.93553429664414,0,0.0,0.8691138093812962,0,0.0
20.0,1,3.0,1.0,7.3114044619892065,1,3.0,0.47538259910836517,1,3.0
25.0,2,10.0,3.3333333333333335,5.1103456464990265,2,10.0,0.31277057573938094,2,10.0
30.0,1,7.0,2.3333333333333335,7.281327864673479,1,7.0,0.4827964747686186,1,7.0
35.0,1,12.0,4.0,3.699614904725996,1,12.0,0.005263417826189088,1,12.0
40.0,1,17.0,5.666666666666667,5.64612781798148,1,17.0,0.0,1,17.0
45.0,1,22.0,7.333333333333333,8.716511007359477,1,22.0,0.0,1,22.0
50.0,1,27.0,13.5,7.89033023443519,1,27.0,0.0,1,27.0
55.0,1,32.0,16.0,7.731947172221066,1,32.0,0.0,1,32.0
60.0,1,37.0,18.5,7.938378751528736,1,37.0,0.4956357199776017,1,37.0
65.0,1,42.0,21.0,6.09693098325603,1,42.0,0.3806642227744442,1,42.0
70.0,0,0.0,0.0,7.335063439783124,0,0.0,1.0,0,0.0
75.0,0,0.0,0.0,13.458734262038337,0,0.0,1.0,0,0.0
80.0,0,0.0,0.0,13.131167291957086,0,0.0,0.7194907387951667,0,0.0
85.0,1,3.0,1.0,9.081519105876694,1,3.0,0.0,1,3.0
90.0,0,0.0,0.0,8.956818465849413,0,0.0,1.0,0,0.0
95.0,0,0.0,0.0,14.18452976346016,0,0.0,1.0,0,0.0
100.0,0,0.0,0.0,15.160947632814638,0,0.0,1.0,0,0.0
105.0,0,0.0,0.0,13.743316742717647,0,0.0,0.9925164513026846,0,0.0
110.0,0,0.0,0.0,12.428986882594696,0,0.0,0.8975980241841642,0,0.0
115.0,1,1.0,1.0,0.06447822928892324,1,1.0,0.004656496282386358,1,1.0
120.0,0,0.0,0.0,10.170544183677059,0,0.0,0.944629497395048,0,0.0
125.0,0,0.0,0.0,13.504761526717164,0,0.0,0.9134173996768896,0,0.0
130.0,1,2.0,1.0,6.762643496431984,1,2.0,1.2095430165962479e-05,1,2.0
135.0,1,7.0,2.3333333333333335,9.92412792745033,1,7.0,0.48038427262320893,1,7.0
140.0,0,0.0,0.0,11.563722822485984,0,0.0,0.9250090469523413,0,0.0
145.0,0,0.0,0.0,13.987209785816168,0,0.0,0.7522878675568327,0,0.0
150.0,1,1.0,0.5,6.66123689946485,1,1.0,0.0036723853641903517,1,1.0
155.0,1,6.0,3.0,6.681159794216156,1,6.0,0.0,1,6.0
160.0,0,0.0,0.0,10.376102111874726,0,0.0,1.0,0,0.0
165.0,0,0.0,0.0,13.812351086172358,0,0.0,1.0,0,0.0
170.0,0,0.0,0.0,13.714833206632257,0,0.0,1.0,0,0.0
175.0,0,0.0,,0.0,0,0.0,1.0,0,0.0
180.0,0,0.0,,0.0,0,0.0,1.0,0,0.0
185.0,0,0.0,,0.0,0,0.0,1.0,0,0.0
190.0,0,0.0,,0.0,0,0.0,1.0,0,0.0
195.0,0,0.0,,0.0,0,0.0,1.0,0,0.0
200.0,0,0.0,,0.0,0,0.0,1.0,0,0.0
205.0,0,0.0,0.0,13.871943000000002,0,0.0,1.0,0,0.0
210.0,0,0.0,0.0,12.844667498948084,0,0.0,0.9259458101109616,0,0.0
215.0,0,0.0,0.0,14.328588985963925,0,0.0,0.9752185745595535,0,0.0
220.0,0,0.0,0.0,14.133414208758825,0,0.0,0.9614254657032277,0,0.0
225.0,0,0.0,0.0,14.137221465097669,0,0.0,0.9562374778445898,0,0.0
230.0,1,2.0,0.6666666666666666,8.970628384072837,1,2.0,0.5890664783421329,1,2.0
235.0,2,8.0,1.6,7.701821196687514,2,8.0,0.4597850291309197,2,8.0
240.0,2,18.0,3.0,9.18483715787531,2,18.0,0.5817678833100646,2,18.0
245.0,3,29.0,4.833333333333333,4.633240221976454,3,29.0,0.17784699780750504,3,29.0
250.0,5,50.0,7.142857142857143,3.969230330043132,5,50.0,0.16239761681138873,5,50.0
255.0,5,75.0,10.714285714285714,3.677838447916695,5,75.0,0.14488868498876611,5,75.0
260.0,6,102.0,17.0,0.0005372100866181029,6,102.0,3.941707312875162e-05,6,102.0
265.0,6,132.0,22.0,0.0,6,132.0,0.0,6,132.0
270.0,6,162.0,27.0,0.0,6,162.0,0.0,6,162.0
275.0,6,192.0,32.0,0.0,6,192.0,0.0,6,192.0
280.0,6,222.0,27.75,2.5389916762928086,6,222.0,0.19455820620969086,6,222.0
285.0,7,256.0,32.0,1.478766794023558,7,256.0,0.1166712794176381,7,256.0
290.0,7,291.0,36.375,0.3517791674692936,7,291.0,0.02775460161300974,7,291.0
295.0,7,316.0,39.5,0.646558009128626,7,316.0,2.7090017577803174e-06,7,316.0
300.0,7,351.0,35.1,3.388424368147408,7,351.0,0.21259547930407463,7,351.0
305.0,7,386.0,38.6,3.1259396649637368,7,386.0,0.17114118526937844,7,386.0
310.0,9,426.0,42.6,1.3123796624500215,9,426.0,0.0005038041342732701,9,426.0
315.0,3,177.0,16.09090909090909,3.674640920256779,3,325.0,0.26572228831545625,3,325.0
320.0,3,192.0,16.0,8.532341978109416,3,192.0,0.47811714947658507,3,192.0
325.0,3,207.0,18.818181818181817,9.064717448317772,3,207.0,0.4746634709905413,3,207.0
330.0,3,222.0,17.076923076923077,9.577673759876088,3,222.0,0.6057888348846353,3,222.0
335.0,2,208.0,14.857142857142858,9.697963895790334,2,208.0,0.6523172680740873,2,208.0
340.0,3,222.0,15.857142857142858,8.363360766018804,3,222.0,0.5477419705454645,3,222.0
345.0,6,244.0,22.181818181818183,3.172310119183676,6,244.0,0.2239215499446512,6,244.0
350.0,9,283.0,25.727272727272727,0.7198407346209375,9,283.0,0.0022616513987000196,9,283.0
355.0,6,292.0,24.333333333333332,3.250155069259612,6,299.0,0.1551400718445188,6,299.0
360.0,6,322.0,29.272727272727273,4.564683198917237,6,318.0,0.0038332544625886435,6,318.0
365.0,7,357.0,32.45454545454545,4.303304011255936,7,353.0,1.4330769532746625e-06,7,353.0
370.0,7,392.0,32.666666666666664,5.236163565562392,7,388.0,0.125,7,388.0
375.0,7,427.0,30.5,4.9182969628787365,7,423.0,0.19024939269908775,7,423.0
